Model,Replicate,Time,Average,SE
20062018,Rep 1,0,36.74734871044041,0.012999827130084213
20062018,Rep 2,0,36.75000188568622,0.013003411497857258
20062018,Rep 3,0,36.75277288617066,0.013004421456451662
20062018,Rep 4,0,36.750004637480636,0.012993949322714343
20062018,Rep 5,0,36.76036383659438,0.012990166783042208
20062018,Rep 1,1,81.46144683042273,0.027919668907370847
20062018,Rep 2,1,81.46777048985719,0.027948301001138966
20062018,Rep 3,1,81.46704556938113,0.027913849
20062018,Rep 4,1,81.46612682778756,0.027905439393964275
20062018,Rep 5,1,81.48451979,0.027913619879470775
20062018,Rep 1,2,133.98337665835632,0.046244944
20062018,Rep 2,2,133.98990832998703,0.046269436
20062018,Rep 3,2,134.03893777855635,0.046202688718508474
20062018,Rep 4,2,133.99643084653144,0.046195282952307695
20062018,Rep 5,2,134.01315500892167,0.046247257
20062018,Rep 1,3,189.01246374107095,0.069757793
20062018,Rep 2,3,189.02127699182373,0.069652093
20062018,Rep 3,3,189.06685072686287,0.069645138
20062018,Rep 4,3,189.0539461001196,0.069699725
20062018,Rep 5,3,189.03407391000442,0.069701547
20062018,Rep 1,4,230.8828611977289,0.089154874
20062018,Rep 2,4,230.81936170178926,0.088858408
20062018,Rep 3,4,230.94567126135252,0.088970816
20062018,Rep 4,4,230.80572318866498,0.088954388
20062018,Rep 5,4,230.91395679194613,0.088978394
20062018,Rep 1,5,276.4842877024518,0.13668692299562948
20062018,Rep 2,5,276.3668325861687,0.13620146961112728
20062018,Rep 3,5,276.5418669068449,0.13627670001143774
20062018,Rep 4,5,276.3742473216181,0.13621969216731275
20062018,Rep 5,5,276.5625222488972,0.1362837390934582
20062018,Rep 1,6,336.4684315,0.2042580774967906
20062018,Rep 2,6,336.3563803617521,0.203516923
20062018,Rep 3,6,336.4573749207018,0.2035610285826189
20062018,Rep 4,6,336.3514031475884,0.20362277904432013
20062018,Rep 5,6,336.4883753905318,0.20337300123983182
20062018,Rep 1,7,388.0897716995602,0.25664494124782244
20062018,Rep 2,7,387.9535598788583,0.25578594065309573
20062018,Rep 3,7,388.17594370327953,0.2559045308871859
20062018,Rep 4,7,388.03736501924004,0.256354958
20062018,Rep 5,7,388.2320972627531,0.2555565830966575
20062018,Rep 1,8,407.2197996573242,0.28969732035819135
20062018,Rep 2,8,407.10931476293496,0.2887174430016129
20062018,Rep 3,8,407.3853218618224,0.2887938402151897
20062018,Rep 4,8,407.581605,0.28959320209803613
20062018,Rep 5,8,407.6773243661251,0.28841005385551804
20062018,Rep 1,9,386.4869718,0.31031628633134184
20062018,Rep 2,9,386.14510679067746,0.3088817473415503
20062018,Rep 3,9,386.2669385831313,0.30871672000015127
20062018,Rep 4,9,386.68941857283204,0.3102098831589807
20062018,Rep 5,9,386.94995664532433,0.3088508447900428
20062018,Rep 1,10,354.2069653530934,0.3342825846226094
20062018,Rep 2,10,353.5286527182133,0.33261084222648213
20062018,Rep 3,10,353.83440388288955,0.3326104351364553
20062018,Rep 4,10,354.50737086813075,0.3345190379840214
20062018,Rep 5,10,354.90724066693883,0.33383602482406705
20062018,Rep 1,11,329.8320252543228,0.357433727
20062018,Rep 2,11,328.89656823101865,0.3554864018105278
20062018,Rep 3,11,329.3626636371092,0.35450333559172004
20062018,Rep 4,11,330.01156269282995,0.3577111315105186
20062018,Rep 5,11,330.3747269362216,0.3570676900089272
20062018,Rep 1,12,320.50750863864084,0.3769118764510166
20062018,Rep 2,12,319.2046449351416,0.37330749765227594
20062018,Rep 3,12,319.7940788398661,0.3746086406107483
20062018,Rep 4,12,320.3401429013848,0.3758747910670356
20062018,Rep 5,12,320.5361441653618,0.3768641998216977
20062018,Rep 1,13,329.0984035439599,0.423667884
20062018,Rep 2,13,328.16828327369933,0.42050205836617705
20062018,Rep 3,13,328.18136524308585,0.4232593411578486
20062018,Rep 4,13,328.7654255262172,0.4246492330098412
20062018,Rep 5,13,329.2260494853427,0.42357258114757496
20062018,Rep 1,14,353.3873409869965,0.5120170196482887
20062018,Rep 2,14,352.4827422551583,0.5122937465735821
