Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
0,1,3326,0,0,0,0
0,1,3327,0,0,0,0
0,1,3328,0,0,0,0
1,1,3326,0,0,1,0
1,1,3327,0,0,1,0
1,1,3328,0,0,1,0
2,1,3326,0,0,2,0
2,1,3327,0,0,2,0
2,1,3328,0.33514999999999995,0.000223616,2,33.515
3,1,3326,0,0,3,0
3,1,3327,0,0,3,0
3,1,3328,0.5691636666666666,6.301543020914825e-05,3,56.91636667
4,1,3326,0,0,4,0
4,1,3327,0,0,4,0
4,1,3328,0.48607233333333333,1.7413277182145045e-05,4,48.60723333
5,1,3326,0,0,5,0
5,1,3327,0,0,5,0
5,1,3328,0.40741033333333326,4.813176359405324e-06,5,40.74103333
6,1,3326,0,0,6,0
6,1,3327,0,0,6,0
6,1,3328,0.340671,1.2423096769062355e-05,6,34.0671
7,1,3326,0,0,7,0
7,1,3327,0,0,7,0
7,1,3328,0.284258,2.0557507414837686e-05,7,28.4258
8,1,3326,0,0,8,0
8,1,3327,0,0,8,0
8,1,3328,0.23729066666666662,1.1955937622976991e-05,8,23.72906667
9,1,3326,0,0,9,0
9,1,3327,0,0,9,0
9,1,3328,0.19697099999999995,2.132161136291652e-05,9,19.6971
10,1,3326,0,0,10,0
10,1,3327,0,0,10,0
10,1,3328,0.1641063333333333,1.3676825492615325e-05,10,16.41063333
10,2,3326,0,0,0,0
10,2,3327,0,0,0,0
10,2,3328,0,0,0,0
11,1,3326,0,0,11,0
11,1,3327,4.884693479933346e-06,7.52945523802919e-07,11,0.000488469
11,1,3328,0.13719233333333328,2.944675043381772e-05,11,13.71923333
11,2,3326,0,0,1,0
11,2,3327,0,0,1,0
11,2,3328,0,0,1,0
12,1,3326,0,0,12,0
12,1,3327,0.032694808,7.222733523828719e-05,12,3.269480768
12,1,3328,0.11481633333333327,3.1382054319844235e-05,12,11.48163333
12,2,3326,0,0,2,0
12,2,3327,0,0,2,0
12,2,3328,0,0,2,0
13,1,3326,0,0,13,0
13,1,3327,0.07982233,3.2032231484710667e-05,13,7.982233038
13,1,3328,0.096335333,2.6902085834055688e-05,13,9.633533333
13,2,3326,0,0,3,0
13,2,3327,0,0,3,0
13,2,3328,0.5729043333333333,5.320975265661619e-05,3,57.29043333
14,1,3326,0,0,14,0
14,1,3327,0.076713445,2.914792745248381e-05,14,7.671344501
14,1,3328,0.080656667,1.9307453943433505e-05,14,8.065666667
14,2,3326,0,0,4,0
14,2,3327,0,0,4,0
14,2,3328,0.4874033333333333,1.3632070031126122e-05,4,48.74033333
15,1,3326,0,0,15,0
15,1,3327,0.06560876,1.3370833368115423e-05,15,6.560876048
15,1,3328,0.067552333,1.3810221657235853e-05,15,6.755233333
15,2,3326,0,0,5,0
15,2,3327,0.37297410113313784,8.452448712528207e-05,5,37.29741011
15,2,3328,0.40812366666666666,8.602325267032838e-06,5,40.81236667
16,1,3326,0,0,16,0
16,1,3327,0.055298727,1.1908219323174199e-05,16,5.529872676
16,1,3328,0.056974667,4.390646624108583e-06,16,5.697466667
16,2,3326,0,0,6,0
16,2,3327,0.3408514686830089,2.7056889153964185e-06,6,34.08514687
16,2,3328,0.341383,2.8087165910533055e-06,6,34.1383
17,1,3326,0,0,17,0
17,1,3327,0.046398593,1.4876111961616396e-05,17,4.639859321
17,1,3328,0.047685667,1.1303883305228226e-06,17,4.768566667
17,2,3326,0,0,7,0
17,2,3327,0.2855380878423309,4.198098833154615e-06,7,28.55380878
17,2,3328,0.2854623333333334,7.828012377206936e-06,7,28.54623333
18,1,3326,0,0,18,0
18,1,3327,0.038857071,1.8169315748395686e-05,18,3.885707054
18,1,3328,0.039872667,1.2472191289326248e-06,18,3.987266667
18,2,3326,0,0,8,0
18,2,3327,0.23878468826219254,3.7053329236650183e-06,8,23.87846883
18,2,3328,0.23866199999999999,5.901977069886118e-06,8,23.8662
19,1,3326,0,0,19,0
19,1,3327,0.03236065,1.318052124533391e-05,19,3.236065024
19,1,3328,0.033335999999999935,1.130388330524643e-06,19,3.3336
19,2,3326,0,0,9,0
19,2,3327,0.1986758040038944,1.3912006863267231e-05,9,19.8675804
19,2,3328,0.19901566666666665,9.95266575122681e-06,9,19.90156667
20,1,3326,0,0,20,0
20,1,3327,0.026098917,1.5853890250362956e-05,20,2.609891726
20,1,3328,0.027871,1.1303883305193187e-06,20,2.7871
20,2,3326,0,0,10,0
20,2,3327,0.16479290564881494,1.4264553315638692e-05,10,16.47929056
20,2,3328,0.1652346666666666,1.3253930234707997e-05,10,16.52346667
20,3,3326,0,0,0,0
20,3,3327,0,0,0,0
20,3,3328,0,0,0,0
21,1,3326,0,0,21,0
21,1,3327,0.021872769,8.363842256308701e-06,21,2.187276928
21,1,3328,0.023302667,1.3540064007693734e-06,21,2.330266667
21,2,3326,0,0,11,0
21,2,3327,0.13832541605931792,9.383294840803947e-06,11,13.83254161
21,2,3328,0.1378213333333333,1.1418795421965004e-05,11,13.78213333
21,3,3326,0,0,1,0
21,3,3327,0,0,1,0
21,3,3328,0,0,1,0
22,1,3326,0,0,22,0
22,1,3327,0.018830493,1.3377284027297872e-05,22,1.883049337
22,1,3328,0.019484667,6.236095644586162e-07,22,1.948466667
22,2,3326,0,0,12,0
22,2,3327,0.11592798629621444,1.561893519318455e-05,12,11.59279863
22,2,3328,0.11610799999999996,1.3948317301935617e-05,12,11.6108
22,3,3326,0,0,2,0
22,3,3327,0,0,2,0
22,3,3328,0,0,2,0
23,1,3326,0,0,23,0
23,1,3327,0.016045552,8.947622399696819e-06,23,1.604555199
23,1,3328,0.016291333,3.333333333202804e-07,23,1.629133333
23,2,3326,0,0,13,0
23,2,3327,0.097584186,5.438639352725913e-07,13,9.758418603
23,2,3328,0.097551667,2.4720661623550426e-06,13,9.755166667
