Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
0,1,3326,1,0,0,100
0,1,3327,1,0,0,100
0,1,3328,1,0,0,100
10,2,3326,1,0,0,100
10,2,3327,1,0,0,100
10,2,3328,1,0,0,100
20,3,3326,1,0,0,100
20,3,3327,1,0,0,100
20,3,3328,1,0,0,100
30,4,3326,1,0,0,100
30,4,3327,1,0,0,100
30,4,3328,1,0,0,100
40,5,3326,1,0,0,100
40,5,3327,1,0,0,100
40,5,3328,1,0,0,100
50,6,3326,1,0,0,100
50,6,3327,1,0,0,100
50,6,3328,1,0,0,100
60,7,3326,1,0,0,100
60,7,3327,1,0,0,100
60,7,3328,1,0,0,100
70,8,3326,1,0,0,100
70,8,3327,1,0,0,100
70,8,3328,1,0,0,100
80,9,3326,1,0,0,100
80,9,3327,1,0,0,100
80,9,3328,1,0,0,100
90,10,3326,1,0,0,100
90,10,3327,1,0,0,100
90,10,3328,1,0,0,100
100,11,3326,1,0,0,100
100,11,3327,1,0,0,100
100,11,3328,1,0,0,100
110,12,3326,1,0,0,100
110,12,3327,1,0,0,100
110,12,3328,1,0,0,100
120,13,3326,1,0,0,100
120,13,3327,1,0,0,100
120,13,3328,1,0,0,100
130,14,3326,1,0,0,100
130,14,3327,1,0,0,100
130,14,3328,1,0,0,100
140,15,3326,1,0,0,100
140,15,3327,1,0,0,100
140,15,3328,1,0,0,100
150,16,3326,1,0,0,100
150,16,3327,1,0,0,100
150,16,3328,1,0,0,100
160,17,3326,1,0,0,100
160,17,3327,1,0,0,100
160,17,3328,1,0,0,100
1,1,3326,0.836104885,0,1,83.61048845
1,1,3327,0.836105212,0,1,83.61052119
1,1,3328,0.836105,0,1,83.6105
11,2,3326,0.836104885,0,1,83.61048845
11,2,3327,0.836105212,0,1,83.61052119
11,2,3328,0.836105,0,1,83.6105
21,3,3326,0.836104885,0,1,83.61048845
21,3,3327,0.836105212,0,1,83.61052119
21,3,3328,0.836105,0,1,83.6105
31,4,3326,0.836104885,0,1,83.61048845
31,4,3327,0.836105212,0,1,83.61052119
31,4,3328,0.836105,0,1,83.6105
41,5,3326,0.836104885,0,1,83.61048845
41,5,3327,0.836105212,0,1,83.61052119
41,5,3328,0.836105,0,1,83.6105
