Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
0,1,3326,0,0,0,0
0,1,3327,0,0,0,0
0,1,3328,0,0,0,0
1,1,3326,0,0,1,0
1,1,3327,0,0,1,0
1,1,3328,0,0,1,0
2,1,3326,0,0,2,0
2,1,3327,0,0,2,0
2,1,3328,0,0,2,0
3,1,3326,0,0,3,0
3,1,3327,0,0,3,0
3,1,3328,0,0,3,0
4,1,3326,0,0,4,0
4,1,3327,0,0,4,0
4,1,3328,0,0,4,0
5,1,3326,0,0,5,0
5,1,3327,0,0,5,0
5,1,3328,0,0,5,0
6,1,3326,0,0,6,0
6,1,3327,0,0,6,0
6,1,3328,0,0,6,0
7,1,3326,0,0,7,0
7,1,3327,0,0,7,0
7,1,3328,0,0,7,0
8,1,3326,0,0,8,0
8,1,3327,0,0,8,0
8,1,3328,0,0,8,0
9,1,3326,0,0,9,0
9,1,3327,0,0,9,0
9,1,3328,3.3333333333333335e-07,3.333333333333334e-07,9,3.33333E-05
10,1,3326,0,0,10,0
10,1,3327,0,0,10,0
10,1,3328,0.14066499999999998,7.226302266335812e-05,10,14.0665
10,2,3326,0,0,0,0
10,2,3327,0,0,0,0
10,2,3328,0,0,0,0
11,1,3326,0,0,11,0
11,1,3327,0,0,11,0
11,1,3328,0.12515099999999998,8.352411494758739e-05,11,12.5151
11,2,3326,0,0,1,0
11,2,3327,0,0,1,0
11,2,3328,0,0,1,0
12,1,3326,0,0,12,0
12,1,3327,0,0,12,0
12,1,3328,0.1048293333333333,7.869702803932074e-05,12,10.48293333
12,2,3326,0,0,2,0
12,2,3327,0,0,2,0
12,2,3328,0,0,2,0
13,1,3326,0,0,13,0
13,1,3327,0,0,13,0
13,1,3328,0.077326667,8.781293248212646e-05,13,7.732666667
13,2,3326,0,0,3,0
13,2,3327,0,0,3,0
13,2,3328,0,0,3,0
14,1,3326,0,0,14,0
14,1,3327,0,0,14,0
14,1,3328,0.030499333333333302,8.858548915533452e-05,14,3.049933333
14,2,3326,0,0,4,0
14,2,3327,0,0,4,0
14,2,3328,0,0,4,0
15,1,3326,0,0,15,0
15,1,3327,0,0,15,0
15,1,3328,0.023555333333333282,4.9360915712733005e-05,15,2.355533333
15,2,3326,0,0,5,0
15,2,3327,0,0,5,0
15,2,3328,0,0,5,0
16,1,3326,0,0,16,0
16,1,3327,0,0,16,0
16,1,3328,0.011042333,1.6504208217576746e-05,16,1.104233333
16,2,3326,0,0,6,0
16,2,3327,0,0,6,0
16,2,3328,0,0,6,0
17,1,3326,0,0,17,0
17,1,3327,0,0,17,0
17,1,3328,0.004925667,3.406121939489455e-05,17,0.492566667
17,2,3326,0,0,7,0
17,2,3327,0,0,7,0
17,2,3328,0,0,7,0
18,1,3326,0,0,18,0
18,1,3327,0,0,18,0
18,1,3328,0.003321667,2.1252450839057007e-05,18,0.332166667
18,2,3326,0,0,8,0
18,2,3327,0,0,8,0
18,2,3328,0,0,8,0
19,1,3326,0,0,19,0
19,1,3327,0,0,19,0
19,1,3328,0.006587667,1.6034684627744042e-05,19,0.658766667
19,2,3326,0,0,9,0
19,2,3327,0,0,9,0
19,2,3328,0,0,9,0
20,1,3326,0,0,20,0
20,1,3327,8.881260872606084e-07,2.2203152181515213e-07,20,8.88126E-05
20,1,3328,0.012883667,4.474433545774218e-05,20,1.288366667
20,2,3326,0,0,10,0
20,2,3327,0,0,10,0
20,2,3328,0,0,10,0
20,3,3326,0,0,0,0
20,3,3327,0,0,0,0
20,3,3328,0,0,0,0
21,1,3326,0,0,21,0
21,1,3327,0.000269324,6.256405466682737e-06,21,0.026932424
21,1,3328,0.014249333333333319,3.190088817989578e-05,21,1.424933333
21,2,3326,0,0,11,0
21,2,3327,0,0,11,0
21,2,3328,0,0,11,0
21,3,3326,0,0,1,0
21,3,3327,0,0,1,0
21,3,3328,0,0,1,0
22,1,3326,0,0,22,0
22,1,3327,0.001180764,7.242449065546261e-06,22,0.118076363
22,1,3328,0.016266,3.2577258598256046e-05,22,1.6266
22,2,3326,0,0,12,0
22,2,3327,0,0,12,0
22,2,3328,1.1666666666666666e-05,1.178511301977579e-06,12,0.001166667
22,3,3326,0,0,2,0
22,3,3327,0,0,2,0
22,3,3328,0,0,2,0
23,1,3326,0,0,23,0
23,1,3327,0.01056315,4.159314785486802e-05,23,1.056314965
23,1,3328,0.01617,6.4764530759057856e-06,23,1.617
23,2,3326,0,0,13,0
23,2,3327,0,0,13,0
23,2,3328,0.044255333,4.989822976151628e-05,13,4.425533333
23,3,3326,0,0,3,0
23,3,3327,0,0,3,0
23,3,3328,0,0,3,0
24,1,3326,0,0,24,0
24,1,3327,0.0104528,2.2510755382023797e-05,24,1.045279998
24,1,3328,0.013597333,4.203173404301468e-06,24,1.359733333
24,2,3326,0,0,14,0
24,2,3327,0,0,14,0
24,2,3328,0.056667667,0.000101409,14,5.666766667
24,3,3326,0,0,4,0
24,3,3327,0,0,4,0
24,3,3328,0,0,4,0
25,1,3326,0,0,25,0
25,1,3327,0.009011149,1.7489827597676236e-05,25,0.901114931
25,1,3328,0.011371666666666619,4.28174419288832e-06,25,1.137166667
25,2,3326,0,0,15,0
25,2,3327,8.881260872606084e-07,4.153829418481617e-07,15,8.88126E-05
25,2,3328,0.050919667,7.356478626203003e-05,15,5.091966667
25,3,3326,0,0,5,0
25,3,3327,0,0,5,0
25,3,3328,1.2333333333333334e-05,8.498365855987974e-07,5,0.001233333
26,1,3326,0,0,26,0
26,1,3327,0.00751932,1.3530266467056876e-05,26,0.751931952
26,1,3328,0.009506333,3.091206165168923e-06,26,0.950633333
26,2,3326,0,0,16,0
26,2,3327,0.000104577,2.8606760474984264e-06,16,0.010457685
26,2,3328,0.042428,5.610605037684338e-05,16,4.2428
26,3,3326,0,0,6,0
