Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
0,1,3326,0,0,0,0
0,1,3327,0,0,0,0
0,1,3328,0,0,0,0
1,1,3326,0,0,1,0
1,1,3327,0,0,1,0
1,1,3328,0,0,1,0
2,1,3326,0,0,2,0
2,1,3327,0,0,2,0
2,1,3328,0,0,2,0
3,1,3326,0,0,3,0
3,1,3327,0,0,3,0
3,1,3328,0,0,3,0
4,1,3326,0,0,4,0
4,1,3327,0,0,4,0
4,1,3328,0,0,4,0
5,1,3326,0,0,5,0
5,1,3327,0,0,5,0
5,1,3328,0,0,5,0
6,1,3326,0,0,6,0
6,1,3327,0,0,6,0
6,1,3328,0,0,6,0
7,1,3326,0,0,7,0
7,1,3327,0,0,7,0
7,1,3328,0,0,7,0
8,1,3326,0,0,8,0
8,1,3327,0,0,8,0
8,1,3328,0.030551,9.38343694436687e-05,8,3.0551
9,1,3326,0,0,9,0
9,1,3327,0,0,9,0
9,1,3328,0.13091166666666668,0.00014124,9,13.09116667
10,1,3326,0,0,10,0
10,1,3327,0,0,10,0
10,1,3328,0.1240723333333333,0.000185506,10,12.40723333
10,2,3326,0,0,0,0
10,2,3327,0,0,0,0
10,2,3328,0,0,0,0
11,1,3326,0,0,11,0
11,1,3327,0,0,11,0
11,1,3328,0.10271499999999993,0.000120379,11,10.2715
11,2,3326,0,0,1,0
11,2,3327,0,0,1,0
11,2,3328,0,0,1,0
12,1,3326,0,0,12,0
12,1,3327,0,0,12,0
12,1,3328,0.071710667,7.13512438574119e-05,12,7.171066667
12,2,3326,0,0,2,0
12,2,3327,0,0,2,0
12,2,3328,0,0,2,0
13,1,3326,0,0,13,0
13,1,3327,0,0,13,0
13,1,3328,0.051941667,6.814812298712023e-05,13,5.194166667
13,2,3326,0,0,3,0
13,2,3327,0,0,3,0
13,2,3328,0,0,3,0
14,1,3326,0,0,14,0
14,1,3327,0,0,14,0
14,1,3328,0.057154,4.399684332110315e-05,14,5.7154
14,2,3326,0,0,4,0
14,2,3327,0,0,4,0
14,2,3328,0,0,4,0
15,1,3326,0,0,15,0
15,1,3327,0,0,15,0
15,1,3328,0.048317999999999986,9.196527122294793e-05,15,4.8318
15,2,3326,0,0,5,0
15,2,3327,0,0,5,0
15,2,3328,0,0,5,0
16,1,3326,0,0,16,0
16,1,3327,8.437197828975779e-05,2.3549999206899452e-06,16,0.008437198
16,1,3328,0.042588667,6.881618026792472e-05,16,4.258866667
16,2,3326,0,0,6,0
16,2,3327,0,0,6,0
16,2,3328,0,0,6,0
17,1,3326,0,0,17,0
17,1,3327,0.018654644,3.687762445441585e-05,17,1.86546444
17,1,3328,0.034311333,5.75601135046397e-05,17,3.431133333
17,2,3326,0,0,7,0
17,2,3327,0,0,7,0
17,2,3328,0.000584667,1.0767750203463692e-05,7,0.058466667
18,1,3326,0,0,18,0
18,1,3327,0.029341244,3.181216630215374e-05,18,2.934124358
18,1,3328,0.033886333,3.854074323218931e-05,18,3.388633333
18,2,3326,0,0,8,0
18,2,3327,0,0,8,0
18,2,3328,0.21458233333333326,7.747687827131229e-05,8,21.45823333
19,1,3326,0,0,19,0
19,1,3327,0.026763235576554762,2.0046261994036167e-05,19,2.676323558
19,1,3328,0.028401999999999962,3.115552385480687e-05,19,2.8402
19,2,3326,0,0,9,0
19,2,3327,0,0,9,0
19,2,3328,0.18768899999999994,6.715363810778125e-05,9,18.7689
20,1,3326,0,0,20,0
20,1,3327,0.023617715,1.317958615816681e-05,20,2.361771501
20,1,3328,0.023819667,2.8452689777157536e-05,20,2.381966667
20,2,3326,0,0,10,0
20,2,3327,1.2211733699833365e-05,7.021253212892443e-07,10,0.001221173
20,2,3328,0.16025299999999992,5.1689242379614e-05,10,16.0253
20,3,3326,0,0,0,0
20,3,3327,0,0,0,0
20,3,3328,0,0,0,0
21,1,3326,0,0,21,0
21,1,3327,0.020436891,1.834281405177237e-05,21,2.043689143
21,1,3328,0.020159,1.719657588656169e-05,21,2.0159
21,2,3326,0,0,11,0
21,2,3327,0.047678161,6.694572560018271e-05,11,4.767816087
21,2,3328,0.13550166666666663,2.741147367233613e-05,11,13.55016667
21,3,3326,0,0,1,0
21,3,3327,0,0,1,0
21,3,3328,0,0,1,0
22,1,3326,0,0,22,0
22,1,3327,0.01746944,1.2979826795922698e-05,22,1.746944014
22,1,3328,0.017712667,1.9892768088478296e-05,22,1.771266667
22,2,3326,0,0,12,0
22,2,3327,0.072538808,8.280614927743974e-05,12,7.253880833
22,2,3328,0.11391233333333328,2.458319208998683e-05,12,11.39123333
22,3,3326,0,0,2,0
22,3,3327,0,0,2,0
22,3,3328,0,0,2,0
23,1,3326,0,0,23,0
23,1,3327,0.014756659002878581,2.075905676985132e-05,23,1.4756659
23,1,3328,0.016193333,5.627314338708671e-06,23,1.619333333
23,2,3326,0,0,13,0
23,2,3327,0.068456537,6.775636677671588e-05,13,6.845653677
23,2,3328,0.09546,3.0060124935066406e-05,13,9.546
23,3,3326,0,0,3,0
23,3,3327,0,0,3,0
23,3,3328,0,0,3,0
24,1,3326,0,0,24,0
24,1,3327,0.012318309,2.3549999206896017e-05,24,1.231830883
24,1,3328,0.013534999999999981,5.5527770829900935e-06,24,1.3535
24,2,3326,0,0,14,0
24,2,3327,0.057736410838246655,3.476867592499012e-05,14,5.773641084
24,2,3328,0.079616667,3.164472924341778e-05,14,7.961666667
24,3,3326,0,0,4,0
24,3,3327,0,0,4,0
24,3,3328,0,0,4,0
25,1,3326,2.743657350120858e-07,2.743657350120858e-07,25,2.74366E-05
25,1,3327,0.010229658,2.1494096302998614e-05,25,1.02296583
25,1,3328,0.011302,5.147815070489106e-06,25,1.1302
25,2,3326,0,0,15,0
25,2,3327,0.048100687,2.6321272695985155e-05,15,4.810068685
