Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
0,1,3326,1,0,0,100
0,1,3327,1,0,0,100
0,1,3328,1,0,0,100
1,1,3326,0.8361048845331804,0,1,83.61048845
1,1,3327,0.8361052118569272,0,1,83.61052119
1,1,3328,0.8361050000000001,0,1,83.6105
2,1,3326,0.6990729181813942,0,2,69.90729182
2,1,3327,0.6990729073806609,0,2,69.90729074
2,1,3328,0.6990716666666666,0,2,69.90716667
3,1,3326,0.5844977872403472,0,3,58.44977872
3,1,3327,0.584499091,0,3,58.44990913
3,1,3328,0.5844983333333333,0,3,58.44983333
4,1,3326,0.48870299086087743,0,4,48.87029909
4,1,3327,0.4887024810912405,0,4,48.87024811
4,1,3328,0.4851446666666666,3.877427555022734e-05,4,48.51446667
5,1,3326,0.4086074018387992,0,5,40.86074018
5,1,3327,0.4086068299116425,0,5,40.86068299
5,1,3328,0.39172299999999993,7.005830904801666e-05,5,39.1723
6,1,3326,0.3416388414083742,0,6,34.16388414
6,1,3327,0.3416387924593654,0,6,34.16387925
6,1,3328,0.3377996666666666,3.830216123870723e-05,6,33.77996667
7,1,3326,0.2856462822071077,0,7,28.56462822
7,1,3327,0.2856457731304113,0,7,28.56457731
7,1,3328,0.2834176666666667,1.7172329163176524e-05,7,28.34176667
8,1,3326,0.23882988501332042,0,8,23.8829885
8,1,3327,0.2388304267556865,0,8,23.88304268
8,1,3328,0.2369816666666666,2.0110804171995686e-05,8,23.69816667
9,1,3326,0.1996874974278212,0,9,19.96874974
9,1,3327,0.1996873796172842,0,9,19.96873796
9,1,3328,0.1981263333333333,2.1739620767407316e-05,9,19.81263333
10,1,3326,0.1669597807269045,0,10,16.69597807
10,1,3327,0.1669599333017308,0,10,16.69599333
10,1,3328,0.16565599999999997,2.061283311166229e-05,10,16.5656
10,2,3326,1,0,0,100
10,2,3327,1,0,0,100
10,2,3328,1,0,0,100
11,1,3326,0.1395959141454742,0,11,13.95959141
11,1,3327,0.1395956583956224,0,11,13.95956584
11,1,3328,0.13446666666666662,2.966947552245848e-05,11,13.44666667
11,2,3326,0.8361048845331804,0,1,83.61048845
11,2,3327,0.8361052118569272,0,1,83.61052119
11,2,3328,0.8361050000000001,0,1,83.6105
