Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
0,1,3326,0,0,0,0
0,1,3327,0,0,0,0
0,1,3328,0,0,0,0
1,1,3326,0,0,1,0
1,1,3327,0,0,1,0
1,1,3328,0,0,1,0
2,1,3326,0,0,2,0
2,1,3327,0,0,2,0
2,1,3328,0,0,2,0
3,1,3326,0,0,3,0
3,1,3327,0,0,3,0
3,1,3328,0,0,3,0
4,1,3326,0,0,4,0
4,1,3327,0,0,4,0
4,1,3328,0.003557,3.877427555021363e-05,4,0.3557
5,1,3326,0,0,5,0
5,1,3327,0,0,5,0
5,1,3328,0.016883667,7.005830904800684e-05,5,1.688366667
6,1,3326,0,0,6,0
6,1,3327,0,0,6,0
6,1,3328,0.003838667,3.830216123870113e-05,6,0.383866667
7,1,3326,0,0,7,0
7,1,3327,0,0,7,0
7,1,3328,0.002227333,1.7172329163201156e-05,7,0.222733333
8,1,3326,0,0,8,0
8,1,3327,0,0,8,0
8,1,3328,0.001848333,2.011080417198897e-05,8,0.184833333
9,1,3326,0,0,9,0
9,1,3327,0,0,9,0
9,1,3328,0.001560333,2.1739620767408515e-05,9,0.156033333
10,1,3326,0,0,10,0
10,1,3327,0,0,10,0
10,1,3328,0.001304,2.0612833111652174e-05,10,0.1304
10,2,3326,0,0,0,0
10,2,3327,0,0,0,0
10,2,3328,0,0,0,0
11,1,3326,0,0,11,0
11,1,3327,0,0,11,0
11,1,3328,0.005128333,2.9669475522452032e-05,11,0.512833333
11,2,3326,0,0,1,0
11,2,3327,0,0,1,0
11,2,3328,0,0,1,0
12,1,3326,0,0,12,0
12,1,3327,0,0,12,0
12,1,3328,0.085834667,4.38475895701385e-05,12,8.583466667
12,2,3326,0,0,2,0
12,2,3327,0,0,2,0
12,2,3328,0,0,2,0
13,1,3326,0,0,13,0
13,1,3327,0,0,13,0
13,1,3328,0.085034333,6.467353915371651e-05,13,8.503433333
13,2,3326,0,0,3,0
13,2,3327,0,0,3,0
13,2,3328,0,0,3,0
14,1,3326,0,0,14,0
14,1,3327,0,0,14,0
14,1,3328,0.075741333,4.943120921487708e-05,14,7.574133333
14,2,3326,0,0,4,0
14,2,3327,0,0,4,0
14,2,3328,0,0,4,0
15,1,3326,0,0,15,0
15,1,3327,0,0,15,0
15,1,3328,0.065692333,2.142558180202063e-05,15,6.569233333
15,2,3326,0,0,5,0
15,2,3327,0,0,5,0
15,2,3328,0.11239233333333329,0.000195412,5,11.23923333
16,1,3326,0,0,16,0
16,1,3327,2.220315218151521e-06,6.08058364876796e-07,16,0.000222032
16,1,3328,0.056067,1.2631530214332576e-05,16,5.6067
16,2,3326,0,0,6,0
16,2,3327,0,0,6,0
16,2,3328,0.31466266666666665,0.000105564,6,31.46626667
17,1,3326,0,0,17,0
17,1,3327,0.011074266213574279,3.565075456976445e-05,17,1.107426621
17,1,3328,0.046877,2.3876999625389554e-05,17,4.6877
17,2,3326,0,0,7,0
17,2,3327,0,0,7,0
17,2,3328,0.2727766666666666,5.681597975530748e-05,7,27.27766667
18,1,3326,0,0,18,0
18,1,3327,0.010718128,4.025695396876917e-05,18,1.071812765
18,1,3328,0.037972667,1.3648361725041536e-05,18,3.797266667
18,2,3326,0,0,8,0
18,2,3327,0,0,8,0
18,2,3328,0.22686299999999998,4.755815153869249e-05,8,22.6863
19,1,3326,0,0,19,0
19,1,3327,0.007812179,3.771596073531473e-05,19,0.78121791
19,1,3328,0.023081,4.9739878925823784e-05,19,2.3081
19,2,3326,0,0,9,0
19,2,3327,0,0,9,0
19,2,3328,0.1774453333333333,9.270233126638862e-05,9,17.74453333
20,1,3326,6.859143375302145e-06,2.3760769644845586e-06,20,0.000685914
20,1,3327,0.005382488,1.7527135142658213e-05,20,0.538248815
20,1,3328,0.015619999999999981,3.381731969141009e-05,20,1.562
20,2,3326,0,0,10,0
20,2,3327,0,0,10,0
20,2,3328,0.15694766666666662,4.5444104861546604e-05,10,15.69476667
20,3,3326,0,0,0,0
20,3,3327,0,0,0,0
20,3,3328,0,0,0,0
21,1,3326,0.000158858,3.766912649565203e-06,21,0.015885776
21,1,3327,0.005461975,2.0524409409933817e-05,21,0.546197544
21,1,3328,0.010910666666666641,5.286670870110651e-05,21,1.091066667
21,2,3326,0,0,11,0
21,2,3327,0,0,11,0
21,2,3328,0.1320853333333333,3.782048239894983e-05,11,13.20853333
21,3,3326,0,0,1,0
21,3,3327,0,0,1,0
21,3,3328,0,0,1,0
22,1,3326,0.000198915,6.507154759093588e-06,22,0.019891516
22,1,3327,0.005646484,2.8118782330417446e-05,22,0.564648363
22,1,3328,0.009001333,3.1204522464252215e-05,22,0.900133333
22,2,3326,0,0,12,0
22,2,3327,0,0,12,0
22,2,3328,0.11111966666666664,2.5393568739605076e-05,12,11.11196667
22,3,3326,0,0,2,0
22,3,3327,0,0,2,0
22,3,3328,0,0,2,0
23,1,3326,0.000169284,4.43675777314091e-06,23,0.016928366
23,1,3327,0.006785061,2.033559060235596e-05,23,0.678506128
23,1,3328,0.008052667,3.238483870235695e-05,23,0.805266667
23,2,3326,0,0,13,0
23,2,3327,5.928241632464561e-05,2.7328824520919624e-06,13,0.005928242
23,2,3328,0.095557,2.8802006102973737e-05,13,9.5557
23,3,3326,0,0,3,0
23,3,3327,0,0,3,0
23,3,3328,0,0,3,0
24,1,3326,4.609344348203042e-05,3.990111741549942e-06,24,0.004609344
24,1,3327,0.01073811,2.0135211066506893e-05,24,1.073811049
24,1,3328,0.009085667,2.3556079658739097e-05,24,0.908566667
24,2,3326,0,0,14,0
24,2,3327,0.077188814,1.7537679472603113e-05,14,7.71888145
24,2,3328,0.081358333,8.612007121848817e-06,14,8.135833333
24,3,3326,0,0,4,0
24,3,3327,0,0,4,0
24,3,3328,0,0,4,0
