Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
0,1,0,0,0,0
1,1,0,0,1,0
2,1,0,0,2,0
3,1,0,0,3,0
4,1,0,0,4,0
5,1,0,0,5,0
6,1,0,0,6,0
7,1,0,0,7,0
8,1,0,0,8,0
9,1,0,0,9,0
10,1,0,0,10,0
10,2,0,0,0,0
11,1,0,0,11,0
11,2,0,0,1,0
12,1,0,0,12,0
12,2,0,0,2,0
13,1,0,0,13,0
13,2,0,0,3,0
14,1,0,0,14,0
14,2,0,0,4,0
15,1,0,0,15,0
15,2,0,0,5,0
16,1,0,0,16,0
16,2,0,0,6,0
17,1,0,0,17,0
17,2,0,0,7,0
18,1,0,0,18,0
18,2,0,0,8,0
19,1,0,0,19,0
19,2,0,0,9,0
20,1,0,0,20,0
20,2,0,0,10,0
20,3,0,0,0,0
21,1,0,0,21,0
21,2,0,0,11,0
21,3,0,0,1,0
22,1,1.0974629400483432e-06,6.720560536832718e-07,22,0.000109746
22,2,0,0,12,0
22,3,0,0,2,0
23,1,0.000219493,8.719479463473216e-06,23,0.021949259
23,2,0,0,13,0
23,3,0,0,3,0
24,1,0.000331434,6.159495474524434e-06,24,0.033143381
24,2,0,0,14,0
24,3,0,0,4,0
25,1,0.000317167,5.595984946748589e-06,25,0.031716679
25,2,0,0,15,0
25,3,0,0,5,0
26,1,0.000248027,8.074001360619018e-06,26,0.024802662
26,2,0,0,16,0
26,3,0,0,6,0
27,1,0.000172302,7.06991043425457e-06,27,0.017230168
27,2,0,0,17,0
27,3,0,0,7,0
28,1,4.6642174952054585e-05,5.689368973440772e-06,28,0.004664217
28,2,0,0,18,0
28,3,0,0,8,0
29,1,4.82883693621271e-05,7.238265217433703e-06,29,0.004828837
29,2,0,0,19,0
29,3,0,0,9,0
30,1,3.841120290169201e-05,6.550392143434742e-06,30,0.00384112
30,2,0,0,20,0
30,3,0,0,10,0
30,4,0,0,0,0
31,1,9.93203960743563e-05,7.779611266960166e-06,31,0.00993204
31,2,0,0,21,0
