Timestep,ReleaseNumber,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
0,1,1,0,0,100
1,1,0.8361048845331804,0,1,83.61048845
2,1,0.6990729181813942,0,2,69.90729182
3,1,0.5844977872403472,0,3,58.44977872
4,1,0.48870299086087743,0,4,48.87029909
5,1,0.4086074018387992,0,5,40.86074018
6,1,0.3416374695796991,0,6,34.16374696
7,1,0.2856449103784326,0,7,28.56449104
8,1,0.23882988501332042,0,8,23.8829885
9,1,0.1996861255991461,0,9,19.96861256
10,1,0.1669597807269045,0,10,16.69597807
10,2,1,0,0,100
11,1,0.1395945423167991,0,11,13.95945423
11,2,0.8361048845331804,0,1,83.61048845
12,1,0.11671518367414131,0,12,11.67151837
12,2,0.6990729181813942,0,2,69.90729182
13,1,0.097586405,0,13,9.758640463
13,2,0.5844977872403472,0,3,58.44977872
14,1,0.081593626,0,14,8.159362594
14,2,0.48870299086087743,0,4,48.87029909
15,1,0.06822104,0,15,6.822104001
15,2,0.4086074018387992,0,5,40.86074018
16,1,0.057037893,0,16,5.703789265
16,2,0.3416374695796991,0,6,34.16374696
17,1,0.047690252,0,17,4.769025206
17,2,0.2856449103784326,0,7,28.56449104
18,1,0.039873572,0,18,3.987357227
18,2,0.23882988501332042,0,8,23.8829885
19,1,0.03333818,0,19,3.333818046
19,2,0.1996861255991461,0,9,19.96861256
20,1,0.027864584,2.8775721051510528e-06,20,2.786458405
20,2,0.1669597807269045,0,10,16.69597807
20,3,1,0,0,100
21,1,0.022735590997511462,1.5751556443234353e-05,21,2.2735591
21,2,0.1395945423167991,0,11,13.95945423
21,3,0.8361048845331804,0,1,83.61048845
22,1,0.013098769,4.3514440171361075e-05,22,1.309876892
22,2,0.11671518367414131,0,12,11.67151837
22,3,0.6990729181813942,0,2,69.90729182
23,1,0.008137688,4.3700872298409704e-05,23,0.81376877
23,2,0.097586405,0,13,9.758640463
23,3,0.5844977872403472,0,3,58.44977872
24,1,0.007135155,4.9207171407696845e-05,24,0.71351553
24,2,0.081593626,0,14,8.159362594
24,3,0.48870299086087743,0,4,48.87029909
25,1,0.006127136,4.83958136666496e-05,25,0.612713559
25,2,0.06822104,0,15,6.822104001
25,3,0.4086074018387992,0,5,40.86074018
26,1,0.006024523,3.718035347411687e-05,26,0.602452281
26,2,0.057037893,0,16,5.703789265
26,3,0.3416374695796991,0,6,34.16374696
27,1,0.00546756,4.004612042025107e-05,27,0.546756037
27,2,0.047690252,0,17,4.769025206
27,3,0.2856449103784326,0,7,28.56449104
28,1,0.001408045,1.4911973311574886e-05,28,0.140804495
28,2,0.039873572,0,18,3.987357227
28,3,0.23882988501332042,0,8,23.8829885
29,1,0.001460174,1.1391961353953817e-05,29,0.146017444
29,2,0.03333818,0,19,3.333818046
29,3,0.1996861255991461,0,9,19.96861256
30,1,0.001451943,8.9914971908665e-06,30,0.145194347
30,2,0.027875559,0,20,2.787555868
30,3,0.1669597807269045,0,10,16.69597807
30,4,1,0,0,100
31,1,0.00117648,1.5137431688840254e-05,31,0.117648027
31,2,0.023304626,0,21,2.330462553
31,3,0.1395945423167991,0,11,13.95945423
31,4,0.8361048845331804,0,1,83.61048845
32,1,0.001066734,9.945521369194373e-06,32,0.106673398
32,2,0.019346625,1.113127180869787e-05,22,1.934662544
32,3,0.11671518367414131,0,12,11.67151837
32,4,0.6990729181813942,0,2,69.90729182
33,1,0.000448314,8.873515546272532e-06,33,0.044831361
33,2,0.014849771,9.206595607175165e-06,23,1.484977104
33,3,0.097586405,0,13,9.758640463
33,4,0.5844977872403472,0,3,58.44977872
34,1,0.000299607,1.513743168883282e-05,34,0.029960738
34,2,0.011302770819557838,2.0191528675853617e-05,24,1.130277082
34,3,0.081593626,0,14,8.159362594
34,4,0.48870299086087743,0,4,48.87029909
35,1,0.000263391,1.3384999237433222e-05,35,0.026339111
35,2,0.00865569,2.5032020627822662e-05,25,0.865569021
35,3,0.068212809,1.7352412690915495e-06,15,6.821280904
35,4,0.4086074018387992,0,5,40.86074018
36,1,0.000241442,1.2422436996220106e-05,36,0.024144185
36,2,0.007245999,1.4952303265710047e-05,26,0.724599906
36,3,0.057024723,2.9294244224166743e-06,16,5.70247231
36,4,0.3416374695796991,0,6,34.16374696
37,1,0.000221688,1.4962368768888337e-05,37,0.022168751
37,2,0.006275842,2.4441660188516765e-05,27,0.627584182
37,3,0.047684765,8.676206345534547e-07,17,4.768476475
37,4,0.2856449103784326,0,7,28.56449104
38,1,0.000220041,1.4708664912930073e-05,38,0.022004132
38,2,0.001598455,6.809578462287369e-06,28,0.159845477
38,3,0.039868634,1.0265825790989007e-06,18,3.986863369
38,4,0.23882988501332042,0,8,23.8829885
39,1,0.000248027,1.4139820868499438e-05,39,0.024802662
39,2,0.001593516,7.22785792920947e-06,29,0.159351619
39,3,0.033336534,6.720560536770922e-07,19,3.333653427
39,4,0.1996861255991461,0,9,19.96861256
40,1,0.000265586,1.3591492551253067e-05,40,0.026558603
40,2,0.001555105,4.196988710066978e-06,30,0.155510499
40,3,0.027873912,6.720560537032129e-07,20,2.787391248
40,4,0.1669597807269045,0,10,16.69597807
40,5,1,0,0,100
41,1,0.000305643,9.838986315755426e-06,41,0.030564343
