Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
0,1,0,0,0,0
1,1,0,0,1,0
2,1,0,0,2,0
3,1,0,0,3,0
4,1,0,0,4,0
5,1,0,0,5,0
6,1,0,0,6,0
7,1,0,0,7,0
8,1,0,0,8,0
9,1,0,0,9,0
10,1,0,0,10,0
10,2,0,0,0,0
11,1,0,0,11,0
11,2,0,0,1,0
12,1,0,0,12,0
12,2,0,0,2,0
13,1,0,0,13,0
13,2,0,0,3,0
14,1,0,0,14,0
14,2,0,0,4,0
15,1,0,0,15,0
15,2,0,0,5,0
16,1,0,0,16,0
16,2,0,0,6,0
17,1,0,0,17,0
17,2,0,0,7,0
18,1,0,0,18,0
18,2,0,0,8,0
19,1,0,0,19,0
19,2,0,0,9,0
20,1,1.0974629400483433e-05,2.8775721051538277e-06,20,0.001097463
20,2,0,0,10,0
20,3,0,0,0,0
21,1,0.000569035,1.5751556443231585e-05,21,0.056903453
21,2,0,0,11,0
21,3,0,0,1,0
22,1,0.006386686,4.351444017135411e-05,22,0.638668558
22,2,0,0,12,0
22,3,0,0,2,0
23,1,0.00815415,4.370087229839893e-05,23,0.815414964
23,2,0,0,13,0
23,3,0,0,3,0
24,1,0.006487103,4.920717140770905e-05,24,0.648710344
24,2,0,0,14,0
24,3,0,0,4,0
25,1,0.005261786,4.83958136666483e-05,25,0.526178607
25,2,0,0,15,0
25,3,0,0,5,0
26,1,0.003498712,3.718035347411671e-05,26,0.349871185
26,2,0,0,16,0
26,3,0,0,6,0
27,1,0.002494533,4.004612042026258e-05,27,0.249453326
27,2,0,0,17,0
27,3,0,0,7,0
28,1,0.00055367,1.4911973311561463e-05,28,0.055367005
28,2,0,0,18,0
28,3,0,0,8,0
29,1,0.000405513,1.1391961353953812e-05,29,0.040551256
29,2,0,0,19,0
29,3,0,0,9,0
30,1,0.000323203,8.991497190866503e-06,30,0.032320284
30,2,0,0,20,0
30,3,0,0,10,0
30,4,0,0,0,0
31,1,0.000510869,1.5137431688837354e-05,31,0.0510869
