Timestep,ReleaseNumber,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
0,1,1,0,0,100
1,1,0.8361048845331804,0,1,83.61048845
2,1,0.6990729181813942,0,2,69.90729182
3,1,0.5844977872403472,0,3,58.44977872
4,1,0.48870299086087743,0,4,48.87029909
5,1,0.4086074018387992,0,5,40.86074018
6,1,0.3416374695796991,0,6,34.16374696
7,1,0.2856449103784326,0,7,28.56449104
8,1,0.23882988501332042,0,8,23.8829885
9,1,0.1996861255991461,0,9,19.96861256
10,1,0.1669597807269045,0,10,16.69597807
10,2,1,0,0,100
11,1,0.1395945423167991,0,11,13.95945423
11,2,0.8361048845331804,0,1,83.61048845
12,1,0.11671518367414131,0,12,11.67151837
12,2,0.6990729181813942,0,2,69.90729182
13,1,0.097586405,0,13,9.758640463
13,2,0.5844977872403472,0,3,58.44977872
14,1,0.081593626,0,14,8.159362594
14,2,0.48870299086087743,0,4,48.87029909
15,1,0.06822104,0,15,6.822104001
15,2,0.4086074018387992,0,5,40.86074018
16,1,0.057037893,0,16,5.703789265
16,2,0.3416374695796991,0,6,34.16374696
17,1,0.047690252,0,17,4.769025206
17,2,0.2856449103784326,0,7,28.56449104
18,1,0.039873572,0,18,3.987357227
18,2,0.23882988501332042,0,8,23.8829885
19,1,0.03333818,0,19,3.333818046
19,2,0.1996861255991461,0,9,19.96861256
20,1,0.027875559,0,20,2.787555868
20,2,0.1669597807269045,0,10,16.69597807
20,3,1,0,0,100
21,1,0.023304626,0,21,2.330462553
21,2,0.1395945423167991,0,11,13.95945423
21,3,0.8361048845331804,0,1,83.61048845
22,1,0.019485455,0,22,1.94854545
22,2,0.11671518367414131,0,12,11.67151837
22,3,0.6990729181813942,0,2,69.90729182
23,1,0.016291837,0,23,1.629183735
23,2,0.097586405,0,13,9.758640463
23,3,0.5844977872403472,0,3,58.44977872
24,1,0.013622259,0,24,1.362225874
24,2,0.081593626,0,14,8.159362594
24,3,0.48870299086087743,0,4,48.87029909
25,1,0.011388922,0,25,1.138892166
25,2,0.06822104,0,15,6.822104001
25,3,0.4086074018387992,0,5,40.86074018
26,1,0.009523235,0,26,0.952323466
26,2,0.057037893,0,16,5.703789265
26,3,0.3416374695796991,0,6,34.16374696
27,1,0.007955509,1.6461944100833714e-06,27,0.795550885
27,2,0.047690252,0,17,4.769025206
27,3,0.2856449103784326,0,7,28.56449104
28,1,0.001941961,2.360183294700036e-06,28,0.194196067
28,2,0.039873572,0,18,3.987357227
28,3,0.23882988501332042,0,8,23.8829885
29,1,0.001685703,1.1431539798675518e-05,29,0.168570308
29,2,0.03333818,0,19,3.333818046
29,3,0.1996861255991461,0,9,19.96861256
30,1,0.001460174,1.3283382421289637e-05,30,0.146017444
30,2,0.027875559,0,20,2.787555868
30,3,0.1669597807269045,0,10,16.69597807
30,4,1,0,0,100
31,1,0.001260985,1.543779705895417e-05,31,0.126098492
31,2,0.023304626,0,21,2.330462553
31,3,0.1395945423167991,0,11,13.95945423
31,4,0.8361048845331804,0,1,83.61048845
32,1,0.001178126,1.6837206180446216e-05,32,0.117812647
32,2,0.019485455,0,22,1.94854545
32,3,0.11671518367414131,0,12,11.67151837
32,4,0.6990729181813942,0,2,69.90729182
33,1,0.001255498,1.1529891537442524e-05,33,0.12554976
33,2,0.016291837,0,23,1.629183735
33,3,0.097586405,0,13,9.758640463
33,4,0.5844977872403472,0,3,58.44977872
34,1,0.00121983,1.3898188518797337e-05,34,0.121983006
34,2,0.013622259,0,24,1.362225874
34,3,0.081593626,0,14,8.159362594
34,4,0.48870299086087743,0,4,48.87029909
35,1,0.001157275,1.2792624200566273e-05,35,0.115727467
35,2,0.011388922,0,25,1.138892166
35,3,0.06822104,0,15,6.822104001
35,4,0.4086074018387992,0,5,40.86074018
36,1,0.001163859,9.792973656823143e-06,36,0.116385945
36,2,0.009523235,0,26,0.952323466
36,3,0.057037893,0,16,5.703789265
36,4,0.3416374695796991,0,6,34.16374696
37,1,0.001167152,3.937889110799657e-06,37,0.116715184
37,2,0.007962094,0,27,0.796209363
37,3,0.047690252,0,17,4.769025206
37,4,0.2856449103784326,0,7,28.56449104
38,1,0.001149044,2.797992473373083e-06,38,0.11490437
38,2,0.001961715,0,28,0.196171501
38,3,0.039873572,0,18,3.987357227
38,4,0.23882988501332042,0,8,23.8829885
39,1,0.000904858,8.111208937237478e-06,39,0.090485819
39,2,0.00186459,6.720560536780988e-07,29,0.186458954
39,3,0.03333818,0,19,3.333818046
39,4,0.1996861255991461,0,9,19.96861256
40,1,0.000705669,9.945521369187525e-06,40,0.070566867
40,2,0.001774049,6.720560536781692e-07,30,0.177404884
40,3,0.027875559,0,20,2.787555868
40,4,0.1669597807269045,0,10,16.69597807
40,5,1,0,0,100
41,1,0.000477396,1.227000868358112e-06,41,0.047739638
41,2,0.001643451,2.8775721051510003e-06,31,0.164345075
41,3,0.023304626,0,21,2.330462553
41,4,0.1395945423167991,0,11,13.95945423
41,5,0.8361048845331804,0,1,83.61048845
42,1,0.000195897,7.186078053594813e-06,42,0.019589713
42,2,0.001287873,1.381670537455343e-05,32,0.128787276
42,3,0.019484357,6.720560536777179e-07,22,1.948435704
42,4,0.11671518367414131,0,12,11.67151837
