Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
0,1,0,0,0,0
1,1,0,0,1,0
2,1,0,0,2,0
3,1,0,0,3,0
4,1,0,0,4,0
5,1,0,0,5,0
6,1,0,0,6,0
7,1,0,0,7,0
8,1,0,0,8,0
9,1,0,0,9,0
10,1,0,0,10,0
10,2,0,0,0,0
11,1,0,0,11,0
11,2,0,0,1,0
12,1,0,0,12,0
12,2,0,0,2,0
13,1,0,0,13,0
13,2,0,0,3,0
14,1,0,0,14,0
14,2,0,0,4,0
15,1,0,0,15,0
15,2,0,0,5,0
16,1,0,0,16,0
16,2,0,0,6,0
17,1,0,0,17,0
17,2,0,0,7,0
18,1,0,0,18,0
18,2,0,0,8,0
19,1,0,0,19,0
19,2,0,0,9,0
20,1,0,0,20,0
20,2,0,0,10,0
20,3,0,0,0,0
21,1,0,0,21,0
21,2,0,0,11,0
21,3,0,0,1,0
22,1,0,0,22,0
22,2,0,0,12,0
22,3,0,0,2,0
23,1,0,0,23,0
23,2,0,0,13,0
23,3,0,0,3,0
24,1,0,0,24,0
24,2,0,0,14,0
24,3,0,0,4,0
25,1,0,0,25,0
25,2,0,0,15,0
25,3,0,0,5,0
26,1,0,0,26,0
26,2,0,0,16,0
26,3,0,0,6,0
27,1,6.58477764029006e-06,1.6461944100725148e-06,27,0.000658478
27,2,0,0,17,0
27,3,0,0,7,0
28,1,1.975433292087018e-05,2.360183294705188e-06,28,0.001975433
28,2,0,0,18,0
28,3,0,0,8,0
29,1,0.000179984,1.1431539798679808e-05,29,0.017998392
29,2,0,0,19,0
29,3,0,0,9,0
30,1,0.000314972,1.3283382421289646e-05,30,0.031497186
30,2,0,0,20,0
30,3,0,0,10,0
30,4,0,0,0,0
31,1,0.000426364,1.5437797058954196e-05,31,0.042636435
31,2,0,0,21,0
31,3,0,0,11,0
31,4,0,0,1,0
32,1,0.000426913,1.6837206180446256e-05,32,0.042691308
32,2,0,0,22,0
32,3,0,0,12,0
32,4,0,0,2,0
