Timestep,ReleaseNumber,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
0,1,1,0,0,100
1,1,0.8361048845331804,0,1,83.61048845
2,1,0.6990729181813942,0,2,69.90729182
3,1,0.5844977872403472,0,3,58.44977872
4,1,0.48870299086087743,0,4,48.87029909
5,1,0.4086074018387992,0,5,40.86074018
6,1,0.3416374695796991,0,6,34.16374696
7,1,0.2856449103784326,0,7,28.56449104
8,1,0.23882988501332042,0,8,23.8829885
9,1,0.1996861255991461,0,9,19.96861256
10,1,0.1669597807269045,0,10,16.69597807
10,2,1,0,0,100
11,1,0.1395945423167991,0,11,13.95945423
11,2,0.8361048845331804,0,1,83.61048845
12,1,0.11671518367414131,0,12,11.67151837
12,2,0.6990729181813942,0,2,69.90729182
13,1,0.097586405,0,13,9.758640463
13,2,0.5844977872403472,0,3,58.44977872
14,1,0.081593626,0,14,8.159362594
14,2,0.48870299086087743,0,4,48.87029909
15,1,0.06822104,0,15,6.822104001
15,2,0.4086074018387992,0,5,40.86074018
16,1,0.057037893,0,16,5.703789265
16,2,0.3416374695796991,0,6,34.16374696
17,1,0.047690252,0,17,4.769025206
17,2,0.2856449103784326,0,7,28.56449104
18,1,0.039873572,0,18,3.987357227
18,2,0.23882988501332042,0,8,23.8829885
19,1,0.03333818,0,19,3.333818046
19,2,0.1996861255991461,0,9,19.96861256
20,1,0.027875559,0,20,2.787555868
20,2,0.1669597807269045,0,10,16.69597807
20,3,1,0,0,100
21,1,0.023304626,0,21,2.330462553
21,2,0.1395945423167991,0,11,13.95945423
21,3,0.8361048845331804,0,1,83.61048845
22,1,0.019485455,0,22,1.94854545
22,2,0.11671518367414131,0,12,11.67151837
22,3,0.6990729181813942,0,2,69.90729182
23,1,0.016291837,0,23,1.629183735
23,2,0.097586405,0,13,9.758640463
23,3,0.5844977872403472,0,3,58.44977872
24,1,0.013622259,0,24,1.362225874
24,2,0.081593626,0,14,8.159362594
24,3,0.48870299086087743,0,4,48.87029909
25,1,0.011388922,0,25,1.138892166
25,2,0.06822104,0,15,6.822104001
25,3,0.4086074018387992,0,5,40.86074018
26,1,0.009523235,0,26,0.952323466
26,2,0.057037893,0,16,5.703789265
26,3,0.3416374695796991,0,6,34.16374696
27,1,0.007962094,0,27,0.796209363
27,2,0.047690252,0,17,4.769025206
27,3,0.2856449103784326,0,7,28.56449104
28,1,0.001961715,0,28,0.196171501
28,2,0.039873572,0,18,3.987357227
28,3,0.23882988501332042,0,8,23.8829885
29,1,0.001865687,0,29,0.1865687
29,2,0.03333818,0,19,3.333818046
29,3,0.1996861255991461,0,9,19.96861256
30,1,0.001775146,0,30,0.177514631
30,2,0.027875559,0,20,2.787555868
30,3,0.1669597807269045,0,10,16.69597807
30,4,1,0,0,100
31,1,0.001687349,0,31,0.168734927
31,2,0.023304626,0,21,2.330462553
31,3,0.1395945423167991,0,11,13.95945423
31,4,0.8361048845331804,0,1,83.61048845
32,1,0.00160504,0,32,0.160503955
32,2,0.019485455,0,22,1.94854545
32,3,0.11671518367414131,0,12,11.67151837
32,4,0.6990729181813942,0,2,69.90729182
33,1,0.001528217,0,33,0.152821714
33,2,0.016291837,0,23,1.629183735
33,3,0.097586405,0,13,9.758640463
33,4,0.5844977872403472,0,3,58.44977872
34,1,0.001454138,0,34,0.14541384
34,2,0.013622259,0,24,1.362225874
34,3,0.081593626,0,14,8.159362594
34,4,0.48870299086087743,0,4,48.87029909
35,1,0.001382803,0,35,0.13828033
35,2,0.011388922,0,25,1.138892166
35,3,0.06822104,0,15,6.822104001
35,4,0.4086074018387992,0,5,40.86074018
36,1,0.001314212,0,36,0.131421187
36,2,0.009523235,0,26,0.952323466
36,3,0.057037893,0,16,5.703789265
36,4,0.3416374695796991,0,6,34.16374696
37,1,0.001251108,0,37,0.125110775
37,2,0.007962094,0,27,0.796209363
37,3,0.047690252,0,17,4.769025206
37,4,0.2856449103784326,0,7,28.56449104
38,1,0.001190747,0,38,0.119074729
38,2,0.001961715,0,28,0.196171501
38,3,0.039873572,0,18,3.987357227
38,4,0.23882988501332042,0,8,23.8829885
39,1,0.001130387,0,39,0.113038683
39,2,0.001865687,0,29,0.1865687
39,3,0.03333818,0,19,3.333818046
39,4,0.1996861255991461,0,9,19.96861256
40,1,0.001075514,0,40,0.107551368
40,2,0.001775146,0,30,0.177514631
40,3,0.027875559,0,20,2.787555868
40,4,0.1669597807269045,0,10,16.69597807
40,5,1,0,0,100
41,1,0.001023384,0,41,0.102338419
41,2,0.001687349,0,31,0.168734927
41,3,0.023304626,0,21,2.330462553
41,4,0.1395945423167991,0,11,13.95945423
41,5,0.8361048845331804,0,1,83.61048845
42,1,0.000973998,0,42,0.097399836
42,2,0.00160504,0,32,0.160503955
42,3,0.019485455,0,22,1.94854545
42,4,0.11671518367414131,0,12,11.67151837
42,5,0.6990729181813942,0,2,69.90729182
43,1,0.000927356,0,43,0.092735618
43,2,0.001528217,0,33,0.152821714
43,3,0.016291837,0,23,1.629183735
43,4,0.097586405,0,13,9.758640463
43,5,0.5844977872403472,0,3,58.44977872
44,1,0.000880714,0,44,0.088071401
44,2,0.001454138,0,34,0.14541384
44,3,0.013622259,0,24,1.362225874
44,4,0.081593626,0,14,8.159362594
